url_length,has_https,dot_count,hyphen_count,at_count,double_slash,digit_count,domain_length,path_depth,has_query,has_suspicious_tld,has_ip,has_phishing_keyword,has_gambling_keyword,has_brand_spoofing,subdomain_length,subdomain_count,domain_entropy,special_chars,path_length,digit_ratio_url,has_port,has_redirect,consonant_ratio,query_length,query_params,has_fragment,label
23,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,2.0,0,7,0.0,0,0,0.75,0,0,0,2
23,1,2,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1.585,0,7,0.0,0,0,0.3333,0,0,0,1
26,1,2,0,0,0,0,6,0,0,1,0,0,1,0,6,1,2.2516,0,0,0.0,0,0,0.6667,0,0,0,2
24,1,1,1,0,0,0,9,0,0,1,0,0,1,0,0,0,3.1699,1,0,0.0,0,0,0.5,0,0,0,2
38,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,2.0,2,7,0.0526,0,0,0.75,15,1,0,1
22,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,7,0.0,0,0,0.75,0,0,0,1
31,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3.2866,0,0,0.0,0,0,0.6316,0,0,0,0
103,1,2,1,0,0,7,15,3,0,0,0,0,0,0,15,1,3.3736,8,60,0.2039,0,0,0.8571,0,0,0,1
21,1,1,0,0,0,0,8,0,0,1,0,0,1,0,0,0,3.0,0,0,0.0,0,0,0.625,0,0,0,2
240,1,2,0,0,0,8,10,2,1,0,0,0,0,0,13,1,2.4464,8,16,0.1417,0,0,1.0,187,2,0,1
175,1,2,0,0,0,0,6,5,1,0,0,0,0,0,4,1,1.9183,7,108,0.0743,0,0,0.5,43,3,0,1
35,1,3,0,0,0,0,9,1,0,0,0,0,0,0,0,0,2.6416,0,8,0.0,0,0,0.6667,0,0,0,0
42,1,2,0,0,0,0,7,2,0,0,0,0,0,0,2,1,2.5216,0,20,0.3571,0,0,0.7143,0,0,0,1
181,1,3,0,0,0,0,6,5,1,0,0,0,0,0,4,1,1.9183,11,108,0.105,0,0,0.5,49,4,0,1
21,1,1,1,0,0,0,9,0,0,1,0,0,1,0,0,0,2.9477,1,0,0.0,0,0,0.625,0,0,0,2
23,1,2,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1.585,0,7,0.0435,0,0,0.3333,0,0,0,1
45,1,1,0,0,0,0,15,1,1,0,0,0,0,0,0,0,3.5069,2,8,0.0,0,0,0.6667,9,1,0,0
38,1,3,0,0,0,0,5,1,0,0,0,0,0,0,7,1,1.9219,0,11,0.0,0,0,0.6,0,0,0,0
40,1,2,0,0,0,0,11,0,0,0,0,0,0,0,15,1,3.2776,0,1,0.0,0,0,0.5455,0,0,0,1
21,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.9183,0,7,0.0476,0,0,0.6667,0,0,0,1
30,0,1,2,0,0,0,18,0,0,0,0,0,1,0,0,0,3.3502,2,0,0.0,0,0,0.625,0,0,0,2
55,1,2,1,0,0,0,8,1,1,0,0,0,0,0,14,1,2.75,3,7,0.0,0,0,0.75,12,1,0,0
15,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,2.0,0,0,0.0,0,0,0.5,0,0,0,2
21,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1.585,1,7,0.0,0,0,1.0,0,0,0,1
22,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,7,0.0455,0,0,0.75,0,0,0,1
23,1,2,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1.585,0,7,0.0,0,0,0.3333,0,0,0,1
35,1,3,0,0,0,0,8,1,0,0,0,0,0,0,4,1,2.75,0,8,0.0,0,0,0.625,0,0,0,0
49,0,2,0,0,0,0,9,1,0,0,0,0,0,0,18,1,2.9477,2,10,0.0204,0,0,0.5556,0,0,0,1
47,1,1,0,0,0,0,11,1,1,0,0,0,0,1,0,0,2.6635,2,7,0.0,0,0,0.6364,17,1,0,0
25,1,1,2,0,0,0,12,0,0,0,0,0,0,0,0,0,3.085,2,1,0.0,0,0,0.8,0,0,0,1
53,1,1,1,0,0,0,21,1,1,0,0,0,0,0,0,0,3.4633,3,7,0.0,0,0,0.55,12,1,0,0
19,1,1,0,0,0,0,6,0,0,1,0,0,1,0,0,0,2.2516,0,0,0.0,0,0,0.6667,0,0,0,2
29,0,1,1,0,0,3,18,0,0,1,0,0,0,0,0,0,3.6835,1,0,0.1034,0,0,0.5714,0,0,0,2
16,0,1,0,0,0,0,5,0,0,1,0,0,1,0,0,0,2.3219,0,0,0.0,0,0,0.6,0,0,0,2
21,1,2,0,0,0,0,3,0,0,0,0,0,1,0,5,1,1.585,0,0,0.0,0,0,0.6667,0,0,0,2
19,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1.8424,0,0,0.0,0,0,0.5714,0,0,0,0
131,1,2,0,0,0,0,6,5,0,0,0,0,0,0,4,1,1.9183,2,108,0.0763,0,0,0.5,0,0,0,1
18,0,1,0,0,0,0,6,0,0,1,0,0,1,0,0,0,2.2516,0,0,0.0,0,0,0.6667,0,0,0,2
36,1,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,2.8454,2,5,0.0,0,0,0.6364,7,1,0,0
39,1,2,0,0,0,0,3,1,1,0,0,0,0,0,8,1,1.585,2,9,0.0769,0,0,0.6667,6,1,0,0
57,1,1,0,0,0,0,23,1,1,0,0,0,0,0,0,0,3.4314,2,9,0.0,0,0,0.5652,12,1,0,0
19,1,1,0,0,0,0,7,0,0,1,0,0,1,0,0,0,2.8074,0,0,0.0,0,0,0.7143,0,0,0,2
38,1,3,0,0,0,0,7,2,0,0,0,0,0,0,5,1,2.5216,0,11,0.0,0,0,0.4286,0,0,0,0
28,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3.6402,0,1,0.0,0,0,0.6667,0,0,0,1
34,1,2,0,0,0,0,6,0,0,0,0,0,0,0,14,1,2.2516,0,1,0.0,0,0,0.6667,0,0,0,1
24,1,1,1,0,0,0,12,0,0,0,0,0,1,0,0,0,3.4183,1,0,0.0,0,0,0.6364,0,0,0,2
175,1,2,0,0,0,0,6,5,1,0,0,0,0,0,4,1,1.9183,8,108,0.0914,0,0,0.5,43,3,0,1
20,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.9183,0,6,0.05,0,0,0.6667,0,0,0,1
33,0,1,3,0,0,0,19,0,0,1,0,0,1,0,0,0,3.4316,3,0,0.0,0,0,0.5625,0,0,0,2
21,1,1,0,0,0,0,9,0,0,1,0,0,1,0,0,0,2.9477,0,0,0.0,0,0,0.6667,0,0,0,2
39,1,2,0,0,0,0,11,0,0,0,0,0,0,0,14,1,2.914,0,1,0.0,0,0,0.5455,0,0,0,1
23,0,1,1,0,0,0,12,0,0,1,0,0,1,0,0,0,3.1887,1,0,0.0,0,0,0.6364,0,0,0,2
32,1,2,2,0,0,0,8,0,0,0,0,0,0,0,10,1,2.75,2,1,0.0,0,0,0.625,0,0,0,1
36,1,1,1,0,0,0,20,1,0,0,0,0,0,0,0,0,3.3464,1,4,0.0,0,0,0.6842,0,0,0,1
16,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2.3219,0,0,0.0,0,0,0.6,0,0,0,0
23,1,1,0,0,0,4,10,0,0,1,0,0,1,0,0,0,3.1219,0,0,0.1739,0,0,0.6667,0,0,0,2
39,1,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0.9183,2,8,0.0,0,0,0.3333,12,1,0,0
23,0,1,0,0,0,2,9,0,0,1,0,0,1,0,0,0,2.9477,0,0,0.087,0,0,0.7143,0,0,0,2
27,1,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1.5,0,5,0.0,0,0,1.0,0,0,0,0
32,1,2,0,0,0,0,5,0,0,0,0,0,0,0,12,1,1.9219,0,1,0.0,0,0,0.8,0,0,0,1
83,1,3,0,0,0,0,4,0,0,1,0,0,0,0,64,2,2.0,0,1,0.0843,0,0,0.75,0,0,0,1
33,1,3,0,0,0,0,3,1,0,0,0,0,0,0,6,1,1.585,0,9,0.0,0,0,0.6667,0,0,0,0
27,1,1,2,0,0,0,14,0,0,0,0,0,1,0,0,0,3.2359,2,0,0.0,0,0,0.75,0,0,0,2
24,1,2,0,0,0,0,7,0,0,0,0,0,1,0,4,1,2.2359,0,0,0.0,0,0,0.5714,0,0,0,2
25,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1.585,1,11,0.12,0,0,1.0,0,0,0,1
22,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.0,0,7,0.0455,0,0,0.75,0,0,0,1
46,1,2,2,0,0,0,7,0,0,0,0,0,0,0,25,1,2.8074,2,1,0.0435,0,0,0.7143,0,0,0,1
28,1,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1.9219,0,5,0.0,0,0,0.6,0,0,0,0
46,1,2,1,0,0,0,7,2,0,0,0,0,0,0,7,1,2.8074,3,19,0.0217,0,0,0.6667,0,0,0,1
20,0,1,0,0,0,0,6,0,0,1,0,0,1,0,0,0,2.585,0,0,0.0,0,0,0.8333,0,0,0,2
20,1,1,1,0,0,0,8,0,0,0,0,0,1,0,0,0,3.0,1,0,0.0,0,0,0.7143,0,0,0,2
49,1,1,0,0,0,0,16,1,1,0,0,0,0,0,0,0,3.375,3,4,0.0,0,0,0.6875,16,1,0,0
14,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.9183,0,0,0.0,0,0,0.3333,0,0,0,0
29,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3.5725,0,0,0.0,0,0,0.6471,0,0,0,0
59,1,1,2,0,0,0,29,1,1,0,0,0,0,0,0,0,3.7883,4,5,0.0,0,0,0.5926,12,1,0,0
21,0,1,0,0,0,3,7,0,0,1,0,0,1,0,0,0,2.5216,0,0,0.1429,0,0,0.5,0,0,0,2
31,1,1,0,0,0,1,19,0,0,0,0,0,0,0,0,0,3.7216,0,0,0.0323,0,0,0.6111,0,0,0,0
46,1,3,0,0,0,1,8,1,0,0,0,0,0,0,10,1,2.75,0,15,0.0217,0,0,0.7143,0,0,0,1
22,1,1,1,0,0,0,9,0,0,1,0,0,1,0,0,0,3.1699,1,0,0.0,0,0,0.5,0,0,0,2
24,0,1,1,0,0,0,12,0,0,1,0,0,1,0,0,0,3.2516,1,0,0.0,0,0,0.6364,0,0,0,2
33,1,3,0,0,0,0,4,1,0,0,0,0,0,0,7,1,1.5,0,7,0.0,0,0,1.0,0,0,0,0
